method,DC,Pika,SVD,ZS,mean,min,sharpe
safe(g<=0.60)/bn-LR,0.8849689410227715,0.7514835530220216,0.8756913274617397,0.7901909128275432,0.8255836835835191,0.7514835530220216,0.7973205645642378
safe(g<=0.60)/bn-GB,0.9243164006569364,0.7666961589077192,0.8964768910996027,0.8103182045035531,0.849451913791953,0.7666961589077192,0.8176360352351393
safe(g<=0.60)/GB+softLR(0.4),0.9393841452937871,0.7785008300847811,0.9011541087156055,0.8283973419253227,0.8618591065048741,0.7785008300847811,0.830611585828757
safe(g<=0.60)/GB+softLR(0.5),0.9397460485520001,0.7794229161451102,0.904947685597389,0.8286540812291888,0.863192682880922,0.7794229161451102,0.8317540652363242
safe(g<=0.60)/GB+softLR(0.6),0.9389764236589998,0.779208332879806,0.9070888268164957,0.8277740085193014,0.8632618979686507,0.779208332879806,0.8316609869904225
safe(g<=0.60)/GB+softLR(0.7),0.9371158260697274,0.7778047302652074,0.9072849199210129,0.8254736408143081,0.8619197792675639,0.7778047302652074,0.8301824747998686
safe(g<=0.65)/bn-LR,0.8967312612901278,0.7581480738560353,0.8732817036275697,0.8191814706636258,0.8368356273593396,0.7581480738560353,0.8101204587229955
safe(g<=0.65)/bn-GB,0.9278537031619325,0.7880492670737528,0.8838624843652403,0.8329318353033823,0.858174322476077,0.7880492670737528,0.8318710380948313
safe(g<=0.65)/GB+softLR(0.4),0.9400358188254707,0.7862232360504031,0.889529941614958,0.8378395058426705,0.8634071255833756,0.7862232360504031,0.8347219659532916
safe(g<=0.65)/GB+softLR(0.5),0.9406292906355596,0.7891574289607587,0.8914801822260845,0.8403978471751066,0.8654161872493773,0.7891574289607587,0.8371566110948679
safe(g<=0.65)/GB+softLR(0.6),0.9402141389937604,0.7912338071269632,0.8922272908454758,0.84175478022663,0.8663575042982073,0.7912338071269632,0.8385491060018152
safe(g<=0.65)/GB+softLR(0.7),0.9387207075843345,0.7920600045300912,0.8919013853275319,0.8416227076039681,0.8660762012614814,0.7920600045300912,0.8386666509623905
safe(g<=0.70)/bn-LR,0.9054482074334125,0.7129741499729698,0.856623563854726,0.7996351339508516,0.81867026380299,0.7129741499729698,0.7828714604598629
safe(g<=0.70)/bn-GB,0.9321052150909634,0.7304813455096378,0.8761458236292191,0.8023621661720458,0.8352736376004666,0.7304813455096378,0.7972674872566567
safe(g<=0.70)/GB+softLR(0.4),0.9402652202919684,0.762544957526508,0.8836340145176094,0.8237797374264602,0.8525559824406366,0.762544957526508,0.8194002784013553
safe(g<=0.70)/GB+softLR(0.5),0.9410171989183149,0.7596418636401097,0.884581492415137,0.8229687868368443,0.8520523354526015,0.7596418636401097,0.8181790042346113
safe(g<=0.70)/GB+softLR(0.6),0.9409487809370787,0.7558094272544589,0.8847051960091082,0.8212901067731038,0.8506883777434373,0.7558094272544589,0.8160741123573159
safe(g<=0.70)/GB+softLR(0.7),0.9400621334336384,0.7509310270297167,0.8838426307020102,0.8184297676056715,0.8483163896927592,0.7509310270297167,0.8129111337838522
safe_max(g<=0.70)/bn-LR,0.8849689410227715,0.7514835530220216,0.8756913274617397,0.7901909128275432,0.8255836835835191,0.7514835530220216,0.7973205645642378
safe_max(g<=0.70)/bn-GB,0.9243164006569364,0.7666961589077192,0.8964768910996027,0.8103182045035531,0.849451913791953,0.7666961589077192,0.8176360352351393
safe_max(g<=0.70)/GB+softLR(0.4),0.9393841452937871,0.7785008300847811,0.9011541087156055,0.8283973419253227,0.8618591065048741,0.7785008300847811,0.830611585828757
safe_max(g<=0.70)/GB+softLR(0.5),0.9397460485520001,0.7794229161451102,0.904947685597389,0.8286540812291888,0.863192682880922,0.7794229161451102,0.8317540652363242
safe_max(g<=0.70)/GB+softLR(0.6),0.9389764236589998,0.779208332879806,0.9070888268164957,0.8277740085193014,0.8632618979686507,0.779208332879806,0.8316609869904225
safe_max(g<=0.70)/GB+softLR(0.7),0.9371158260697274,0.7778047302652074,0.9072849199210129,0.8254736408143081,0.8619197792675639,0.7778047302652074,0.8301824747998686
safe_max(g<=0.75)/bn-LR,0.8993469333420018,0.7590649767457048,0.8721521829102721,0.8076376651370654,0.8345504395337611,0.7590649767457048,0.8071245972120921
safe_max(g<=0.75)/bn-GB,0.9279490549185873,0.7873723449856193,0.8837977308790133,0.8307886381337687,0.8574769422292471,0.7873723449856193,0.8309180186909277
safe_max(g<=0.75)/GB+softLR(0.4),0.9401683206171859,0.7863751029507271,0.8896906035666344,0.8368343550103868,0.8632670955362336,0.7863751029507271,0.8345191950791347
safe_max(g<=0.75)/GB+softLR(0.5),0.9407977041278333,0.7892978928856318,0.8916188524277213,0.8392005533061151,0.8652287506868254,0.7892978928856318,0.8368892173242037
safe_max(g<=0.75)/GB+softLR(0.6),0.9403392107784636,0.7912752724922395,0.8924279655645848,0.8403780979978861,0.8661051367082935,0.7912752724922395,0.838193470048708
safe_max(g<=0.75)/GB+softLR(0.7),0.9389206986064093,0.7919941782627152,0.8920079842270282,0.840227921962772,0.8657876957647311,0.7919941782627152,0.838248263928482
safe_max(g<=0.80)/bn-LR,0.9117974580088509,0.774890233403358,0.88722202962472,0.7999066851376333,0.8434541015436405,0.774890233403358,0.8147488892649472
safe_max(g<=0.80)/bn-GB,0.9344970581815987,0.7906584751837564,0.8937160101467491,0.8072743625644471,0.8565364765191378,0.7906584751837564,0.8267174002579324
safe_max(g<=0.80)/GB+softLR(0.4),0.9422075479583734,0.7872951157427925,0.893514419104722,0.8300616215473399,0.863269676088307,0.7872951157427925,0.8336672682453691
safe_max(g<=0.80)/GB+softLR(0.5),0.943448359129389,0.7905387439415215,0.8964597864051278,0.8303187722923981,0.8651914154421091,0.7905387439415215,0.8357264119842177
safe_max(g<=0.80)/GB+softLR(0.6),0.9436700210052491,0.7929613579077821,0.8982805200438002,0.8291980064851361,0.8660274763604918,0.7929613579077821,0.8366977867495408
safe_max(g<=0.80)/GB+softLR(0.7),0.9429099932046393,0.7941301628915043,0.8989173644720224,0.8261623933698721,0.8655299784845094,0.7941301628915043,0.8362147471132153
soft(l=0.2)/bn-LR,0.9278713494285861,0.7665323707148785,0.8711246794778793,0.8207486501643091,0.8465692624464132,0.7665323707148785,0.816688660555393
soft(l=0.2)/bn-GB,0.9623564886406029,0.8069745781028663,0.9072357439243972,0.7080479131497016,0.846153680954392,0.7080479131497016,0.7975209269890835
soft(l=0.2)/GB+softLR(0.4),0.9535674095125762,0.7931277376859527,0.8982121012659,0.7946538154381787,0.8598902659756519,0.7931277376859527,0.8254691605826562
soft(l=0.2)/GB+softLR(0.5),0.9572731255098456,0.798266851394869,0.9022430057835248,0.7852898253473284,0.8607682020088919,0.7852898253473284,0.8248544478712785
soft(l=0.2)/GB+softLR(0.6),0.9599906505745098,0.802323200753011,0.9052766455250606,0.7742286403390933,0.8604547842979187,0.7742286403390933,0.8227630935468864
soft(l=0.2)/GB+softLR(0.7),0.9618611548397982,0.8054082239295586,0.9071581619173141,0.7614468082655244,0.8589685872380488,0.7614468082655244,0.819212828640117
soft(l=0.3)/bn-LR,0.9278954969513752,0.765072789857157,0.8709689045817673,0.8185922868765483,0.8456323695667118,0.765072789857157,0.8153935554276935
soft(l=0.3)/bn-GB,0.9591386764371258,0.8025217161892706,0.9109468517435334,0.7095694226780624,0.8455441667619981,0.7095694226780624,0.7971181367567537
soft(l=0.3)/GB+softLR(0.4),0.9523950163227967,0.791942864873186,0.9002567231376118,0.7946262488783085,0.8598052133029757,0.791942864873186,0.8252881957527248
soft(l=0.3)/GB+softLR(0.5),0.955763905335519,0.7965356723945886,0.9046886716524816,0.7853700563797866,0.860589576440594,0.7853700563797866,0.8245654856290103
soft(l=0.3)/GB+softLR(0.6),0.9581272667326081,0.800371736999701,0.9080760120404833,0.7743129857834725,0.8602220003890662,0.7743129857834725,0.8224414991126022
soft(l=0.3)/GB+softLR(0.7),0.9595801426870929,0.8028508475261504,0.9102205131102901,0.7616447114789213,0.8585740537006137,0.7616447114789213,0.8187541781108159
soft(l=0.4)/bn-LR,0.9278954969513752,0.765072789857157,0.8709689045817673,0.8185922868765483,0.8456323695667118,0.765072789857157,0.8153935554276935
soft(l=0.4)/bn-GB,0.963996043521266,0.8025217161892706,0.910951433358125,0.709275653666908,0.8466862116838925,0.709275653666908,0.7974903153361123
soft(l=0.4)/GB+softLR(0.4),0.9541611909062906,0.791942864873186,0.9002582503424756,0.7945517780225395,0.8602285210361229,0.791942864873186,0.8254056737338911
soft(l=0.4)/GB+softLR(0.5),0.9580477037408538,0.7965356723945886,0.904690809739291,0.7852030112557967,0.8611192992826325,0.7852030112557967,0.8246947885068524
soft(l=0.4)/GB+softLR(0.6),0.9609324039632896,0.800371736999701,0.9080787610092382,0.7741130253641152,0.860873981834086,0.7741130253641152,0.8226084913322441
soft(l=0.4)/GB+softLR(0.7),0.9628964024834799,0.8028508475261504,0.9102214294332084,0.7613451822910773,0.859328465433479,0.7613451822910773,0.818934424668379
