feature,fake_auc,gen_mean,gen_max,src_auc,DynamicCrafter_vs_Pika,DynamicCrafter_vs_SVD,DynamicCrafter_vs_ZeroScope,Pika_vs_SVD,Pika_vs_ZeroScope,SVD_vs_ZeroScope
latent_frame_distance_std,0.7027057821959273,0.681314916482603,0.8197209380223334,0.6573196116262892,0.6854719228095556,0.6448742204470604,0.5871470717254851,0.8197209380223334,0.7832483856711604,0.567426960220023
object_latent_temporal_variance,0.6790654568945321,0.5835886186144302,0.6391638508560111,0.5174455536574061,0.5654199307247909,0.5624849150180241,0.5862530085126729,0.6211631942321609,0.6391638508560111,0.5270468123429214
normalized_temporal_variance,0.658359743377114,0.6208755626261256,0.7377652041357818,0.6727975681337344,0.7377652041357818,0.5556723425127881,0.5219057198296327,0.6457913011838106,0.7250424969209647,0.5390763111737766
latent_smoothness,0.6583597288512026,0.6208755626261258,0.7377652041357818,0.6727975681337344,0.7377652041357818,0.5556723425127881,0.5219057198296327,0.6457913011838106,0.7250424969209648,0.5390763111737766
latent_jerk_mean,0.6575556906013402,0.7013922319675624,0.8606253753945696,0.6587776181139436,0.687877551955468,0.6841353107110285,0.5742197943320007,0.8606253753945696,0.7765199951418896,0.6249753642704177
latent_std,0.6426526719774949,0.7253072295701735,0.8956155091941588,0.5023547121046008,0.6141411034535078,0.5727644492984862,0.8443095319117327,0.5448455940302954,0.8956155091941588,0.8801671895328603
spatial_entropy,0.6302861680087835,0.5934227445321016,0.6739284159151601,0.7841112240723513,0.5426380913001139,0.5827434249614267,0.5826414548871162,0.6321783500757923,0.5464067300530004,0.6739284159151601
noise_residual_mean,0.6229403129136979,0.6249586883042094,0.7091240009085429,0.5416840417710951,0.6260657832819384,0.5997596873438645,0.5497960083691277,0.7091240009085429,0.6924917719218768,0.5725148779999056
object_latent_entropy,0.6229091838854883,0.5912773595205368,0.6655588143070428,0.533853582307708,0.6002058802431955,0.5552160679522897,0.5606646316021231,0.5466019126087,0.6655588143070428,0.6194168504098693
ch3_variance,0.6200640807677862,0.5515611141376683,0.5903123838615814,0.5147638970394404,0.5192027830261842,0.5717568597571208,0.5318682340879669,0.5903123838615814,0.5521080827966092,0.5441183412965475
patch_similarity,0.6082183743018266,0.6827562450649536,0.8489540090131282,0.5261646538428513,0.5133609968479518,0.5809556448505946,0.7864452053350679,0.5678203901176326,0.7990012242253461,0.8489540090131282
noise_residual_energy,0.6081588035390233,0.7639850442183364,0.9458972971652642,0.5861687368935575,0.7271222996995921,0.6366077174432194,0.9458972971652642,0.5913967438446407,0.8189236329983915,0.8639625741589105
patch_variance_std,0.5999979576568519,0.5874391009895689,0.6747456447615645,0.5784383770079018,0.6747456447615645,0.5538304645355597,0.5485402376963416,0.6258804287936944,0.6191661690797898,0.5024716610704633
trajectory_curvature_consistency,0.5937829883448735,0.6204111597268553,0.745298323536298,0.5529258727046479,0.6794517471466133,0.5374718335364352,0.5649295005057547,0.6021693869225409,0.745298323536298,0.5931461667134896
ch1_variance,0.5865913693774264,0.6928289156670147,0.8458247348997422,0.5743031416877105,0.5137005002041152,0.5962688312256643,0.7998620091059268,0.6108876189544569,0.7904297996121825,0.8458247348997422
channel_mutual_information,0.584392901733255,0.7736996093599177,0.9552932072732266,0.5296616555205076,0.678326578944107,0.5002594818256674,0.952087982244547,0.6817054223927654,0.8745249834791919,0.9552932072732266
latent_density_score,0.5830259698892963,0.7804705017013734,0.9634875136865253,0.5252454930283728,0.9030443761682164,0.6818197072486576,0.6553774455824344,0.9558786094847871,0.9634875136865253,0.5232153580376193
ch3_energy,0.5790171088509051,0.5935584495397125,0.6748539270425868,0.5272322245367944,0.53850940751031,0.5330176863778887,0.6397912335629724,0.5725316961776357,0.6026467465668814,0.6748539270425868
ch1_mean,0.5767942957791653,0.5927328741415872,0.6697948833753339,0.5079843250070409,0.5953983775194699,0.5611073658742067,0.5529606976905264,0.645965821447614,0.6697948833753339,0.5311700989423721
latent_kurtosis,0.5673113595416412,0.7283298629636171,0.9097596759289405,0.5371294319167108,0.6364752791607657,0.5836663103993281,0.8072159467149033,0.5561508759175746,0.9097596759289405,0.8767110896601903
noise_spatial_correlation,0.5636782112025689,0.6999582100557626,0.8717240648917101,0.6381480913951841,0.8717240648917101,0.5566699984508948,0.5892187754613109,0.8329992993252253,0.8212095309475947,0.5279275912578402
latent_frame_distance_mean,0.563281653820338,0.7977518212150395,0.9759980910225072,0.5170680849495937,0.93779051666477,0.7110258432085431,0.6593833306063067,0.9759980910225072,0.9698783301954189,0.5324348155926919
latent_temporal_entropy,0.5625100519307143,0.5425856781295672,0.5836556549654431,0.580097215191795,0.5836556549654431,0.5451256748473916,0.5492171425913712,0.5381043319931215,0.5363136824615288,0.5030975819185465
ch0_variance,0.5623118894468905,0.6622450538867125,0.804013816476442,0.5503394134734032,0.5059108886312569,0.5934127860508585,0.7369610483560378,0.5886894565676125,0.7444823272380672,0.804013816476442
gradient_magnitude_mean,0.5599388929768032,0.6894395753994108,0.8351688062951151,0.5064142797345164,0.7040944705644205,0.6062757283680351,0.8351688062951151,0.6205655271716193,0.6120198517537455,0.7585130682435295
channel_correlation_std,0.5595779386035045,0.7150368760730142,0.8679978571928089,0.5710527518449238,0.6528668316863289,0.5109456226503337,0.8679978571928089,0.6394177915071992,0.7639657974251091,0.8550273559763061
spectral_entropy,0.5581134652642461,0.7259915731858487,0.8386789890570978,0.6478324488041263,0.8018263703222991,0.5612437515621933,0.7915326993916556,0.8386789890570978,0.5291320376217241,0.8335355911601225
mahalanobis_distance,0.5553010163954544,0.7291828831272125,0.9277877488110811,0.6429907445052369,0.9277877488110811,0.6369222368004562,0.5171282368384158,0.8132132959985949,0.8763490838628997,0.6036966964518278
ch3_mean,0.5552656022233708,0.5617209755569476,0.6080238827304931,0.5524834104321471,0.5655780401417652,0.5122594088002597,0.6080238827304931,0.5532322005078503,0.5398173405909439,0.5914149805703737
ch0_energy,0.5544910079959913,0.6841743067048226,0.8336281917919195,0.5124331424167138,0.5546718703818249,0.5721320546369657,0.7876348916199308,0.6207419000921511,0.7362369317061433,0.8336281917919195
object_motion_smoothness,0.5378121095435006,0.567266011335691,0.6205859656949061,0.5309350391692969,0.5945537502539703,0.5517450790406073,0.5206439262759222,0.5417740744404884,0.6205859656949061,0.5742932723082514
spatial_variance,0.528450174148247,0.7597745646634317,0.9459549073149196,0.5086110147804221,0.8111681581905372,0.5087137836262539,0.7465608513409108,0.8104935959214874,0.9459549073149196,0.7357560915864816
patch_entropy,0.5270189360943567,0.6401758303066465,0.7832823342093804,0.5327971601449341,0.5024890027577137,0.5258442824461687,0.7492110862499971,0.5239303964277814,0.7562978797488376,0.7832823342093804
object_latent_motion_consistency,0.5250603784034792,0.571020827842046,0.622657605231957,0.5276829889069743,0.622657605231957,0.5625662631744414,0.5274904361669984,0.5632691535989524,0.6094051539379095,0.5407363549420181
spatial_autocorrelation,0.5229757212754169,0.6636261655559509,0.781224583865509,0.5630242280511909,0.7463335327539994,0.5570984857698449,0.5963995552437041,0.781224583865509,0.6534527911275757,0.6472480445750721
ch2_energy,0.5180496941888917,0.6236019600816406,0.7160300556327527,0.574984783440968,0.6193335519073967,0.5872403940042918,0.5870983867713444,0.5404355299543098,0.7160300556327527,0.6914738422197478
channel_correlation_mean,0.5176518585264543,0.6683783784558389,0.7875686399297599,0.5902108305845484,0.6579007951664336,0.517743697464327,0.7875686399297599,0.6388645882081363,0.6395300563254491,0.7686624936409281
ch0_mean,0.5154362212549644,0.569653460356483,0.6114478623490872,0.5034165108639669,0.5659719992353663,0.5453499863480075,0.536200023890761,0.6114478623490872,0.5612479802128979,0.5977029101027785
ch2_variance,0.5143292015443485,0.6135410173756793,0.7177956956057121,0.6038809064878601,0.5685689745759306,0.6084479657725619,0.5933835976206945,0.5306031101660091,0.662446760513168,0.7177956956057121
object_latent_variance,0.5124426778482871,0.6281958076477813,0.7175294481563561,0.5589865621456289,0.5855033944702265,0.5043029953035535,0.7148180939388737,0.5864377375800672,0.6605831764376104,0.7175294481563561
latent_skewness,0.506054646827448,0.5924170853835157,0.6669091103885518,0.5219641086875838,0.6168922448645422,0.5516819872361253,0.5513261547284801,0.5656568575903531,0.6669091103885518,0.6020361574930417
gradient_magnitude_std,0.5024929078689999,0.5422822489985125,0.578987296039791,0.6032580119591322,0.578987296039791,0.5468456648278761,0.5488942492529119,0.5320568899006864,0.5415005927171753,0.505408801252634
ch2_mean,0.5003212841091642,0.5363741409285138,0.5787735942177666,0.5055202624158661,0.5225189496577363,0.5154885010488006,0.5787735942177666,0.5102553813193658,0.5343177933834569,0.556890625943957
