combo,n_dim,auc_DC,auc_Latte,auc_OSora,auc_Pika,auc_SEINE,auc_SVD,auc_VCraft,auc_ZS,auc_mean,auc_min,auc_std,acc_DC,acc_Latte,acc_OSora,acc_Pika,acc_SEINE,acc_SVD,acc_VCraft,acc_ZS,acc_mean,acc_min,acc_std,balacc_DC,balacc_Latte,balacc_OSora,balacc_Pika,balacc_SEINE,balacc_SVD,balacc_VCraft,balacc_ZS,balacc_mean,balacc_min,balacc_std,f1_DC,f1_Latte,f1_OSora,f1_Pika,f1_SEINE,f1_SVD,f1_VCraft,f1_ZS,f1_mean,f1_min,f1_std
csv,16,0.9769617531305027,0.9145740513025823,0.9571156979736789,0.9124878649016933,0.8720933870708444,0.8908223007277135,0.9488357964689547,0.9133570680042347,0.9232809899475256,0.8720933870708444,0.032870928814754126,0.9194053208137715,0.8355614973262032,0.8895287958115183,0.838012958963283,0.8434379457917262,0.7997941327843541,0.8739436619718309,0.8248877485567672,0.8530715077524318,0.7997941327843541,0.03609696017038568,0.9194053208137716,0.8355614973262032,0.8895287958115183,0.838012958963283,0.843437945791726,0.7997941327843541,0.873943661971831,0.8248877485567672,0.8530715077524318,0.7997941327843541,0.03609696017038572,0.9195102891377963,0.8241349728338576,0.8884581497797357,0.8240813135261923,0.8585695876288659,0.8106134371957157,0.8728693181818182,0.8324125230202578,0.8538311989130299,0.8106134371957157,0.03533965028958742
eps,16,0.8182542384273376,0.7992213103034116,0.5704636507892997,0.4969214557867768,0.8340989588950776,0.6656019245353088,0.7924609452489586,0.5925267467632951,0.6961936538436833,0.4969214557867768,0.12298316600885387,0.7402190923317684,0.7363636363636363,0.5453752181500873,0.5323974082073434,0.7537446504992867,0.6332990221307256,0.7269366197183098,0.5779345734445157,0.6557837776057092,0.5323974082073434,0.08821975724064385,0.7402190923317684,0.7363636363636363,0.5453752181500873,0.5323974082073434,0.7537446504992867,0.6332990221307258,0.7269366197183098,0.5779345734445157,0.6557837776057092,0.5323974082073434,0.08821975724064385,0.7300813008130081,0.7261111111111112,0.5196385764337083,0.28192371475953565,0.7514846140003599,0.6773828390310165,0.7506029908345393,0.5136733185513673,0.6188623081918307,0.28192371475953565,0.15679548553284664
eps+csv,32,0.9974320312804007,0.9847093139637965,0.9629386377688233,0.9115828833045408,0.9678261745499094,0.9680346912216915,0.9856452092838722,0.9830761894456282,0.9701556413523329,0.9115828833045408,0.02463599014352892,0.976264997391758,0.9368983957219251,0.8986038394415358,0.8387329013678906,0.900320970042796,0.9078744209984559,0.9441901408450705,0.9374599101988454,0.9175431970010346,0.8387329013678906,0.038551039111843995,0.976264997391758,0.9368983957219251,0.8986038394415358,0.8387329013678906,0.900320970042796,0.9078744209984559,0.9441901408450704,0.9374599101988454,0.9175431970010346,0.8387329013678906,0.03855103911184399,0.976221583485759,0.9359043997827268,0.8942290187511378,0.8374455732946299,0.9035042292421889,0.906964656964657,0.9434635277331906,0.9365853658536586,0.9167897943884936,0.8374455732946299,0.03885613204479533
eps+physics,41,0.9138629765416044,0.7836573822528525,0.7368114299985685,0.6658850445312108,0.9230349805962951,0.8364791302507464,0.9020825481055347,0.6795189923311477,0.805166560575995,0.6658850445312108,0.09772588045541182,0.8309859154929577,0.7211229946524064,0.6727748691099477,0.6295896328293736,0.8432596291012838,0.7570766855378281,0.8214788732394366,0.6395125080179602,0.7394751384976492,0.6295896328293736,0.08141939935793095,0.8309859154929577,0.7211229946524065,0.6727748691099477,0.6295896328293736,0.8432596291012839,0.7570766855378281,0.8214788732394367,0.6395125080179602,0.7394751384976492,0.6295896328293736,0.08141939935793098,0.8324715615305067,0.7204502814258912,0.6854554604932058,0.5714285714285714,0.8348054876902837,0.756701030927835,0.8191868758915835,0.616643929058663,0.7296428998058175,0.5714285714285714,0.0936888098942299
eps+physics+csv,57,0.998214912069453,0.986046784294661,0.9740278805710126,0.9428169288573545,0.9765774286173614,0.9806815391514572,0.9931197926998613,0.985510686979244,0.9796244941550506,0.9428169288573545,0.01581194444445097,0.9804381846635368,0.9409090909090909,0.918499127399651,0.871130309575234,0.9188659058487875,0.9307771487390633,0.9621478873239436,0.9377806286080821,0.9325685353834237,0.871130309575234,0.030468728065482318,0.9804381846635368,0.9409090909090909,0.918499127399651,0.871130309575234,0.9188659058487875,0.9307771487390633,0.9621478873239437,0.9377806286080821,0.9325685353834237,0.871130309575234,0.030468728065482332,0.9803613511390417,0.9409879839786381,0.9195521102497847,0.8723252496433667,0.9184149184149184,0.9307236672675766,0.9619670971165752,0.936890045543266,0.9326528029191459,0.8723252496433667,0.03008393183676016
physics,25,0.874696895606915,0.6509757213531985,0.7298183224753221,0.6369152670810093,0.886017987346383,0.8603170280953656,0.8823168766117834,0.654525997117443,0.7719480119609274,0.6369152670810093,0.1072325972259401,0.795774647887324,0.6294117647058823,0.6692844677137871,0.6018718502519799,0.8020684736091298,0.7835820895522388,0.8008802816901408,0.6132135984605517,0.7120108967338794,0.6018718502519799,0.08564944281672471,0.795774647887324,0.6294117647058823,0.6692844677137871,0.6018718502519798,0.8020684736091299,0.7835820895522388,0.8008802816901408,0.6132135984605516,0.7120108967338794,0.6018718502519798,0.08564944281672476,0.8018223234624146,0.602865329512894,0.6791941764008803,0.604151753758053,0.7984017435524882,0.7861683193490974,0.7894246881400112,0.6391382405745063,0.7126458218437931,0.602865329512894,0.08437429621284318
physics+csv,41,0.9915145736374623,0.92878663959507,0.964719290711451,0.9423164937301776,0.9280702013223416,0.9571617660186124,0.9824184189644911,0.9445932718667622,0.954947581980796,0.9280702013223416,0.02198216689664249,0.9553990610328639,0.8516042780748663,0.9027923211169284,0.8718502519798416,0.8666191155492154,0.8834276891405044,0.9297535211267606,0.86337395766517,0.8906025244607689,0.8516042780748663,0.033764942605471825,0.9553990610328638,0.8516042780748663,0.9027923211169284,0.8718502519798417,0.8666191155492154,0.8834276891405044,0.9297535211267606,0.86337395766517,0.8906025244607689,0.8516042780748663,0.03376494260547178,0.9559618851403554,0.8471495455797301,0.9030461270670148,0.8699780861943024,0.876117919841007,0.8854614412136536,0.929217668972858,0.8690036900369004,0.8919920455057277,0.8471495455797301,0.03338908035185022
z0,43,0.9746427715231671,0.5772545683319512,0.8479591507299081,0.7298375957137251,0.9722637418320272,0.9224006151647215,0.9247279185677446,0.8052924503421339,0.8442973515256724,0.5772545683319512,0.12839499421427555,0.9167970787689097,0.5700534759358289,0.7663176265270506,0.6781857451403888,0.9151212553495007,0.8494595985589295,0.8461267605633803,0.7334830019243105,0.7844430678460373,0.5700534759358289,0.11336080440318815,0.9167970787689097,0.5700534759358289,0.7663176265270506,0.6781857451403888,0.9151212553495007,0.8494595985589295,0.8461267605633802,0.7334830019243104,0.7844430678460373,0.5700534759358289,0.11336080440318813,0.9184351828176937,0.47174770039421815,0.756146421416864,0.6446740858505564,0.9149088308902396,0.8482490272373541,0.8426925845932326,0.7295802147738366,0.7658042559967494,0.47174770039421815,0.1417676622150778
z0+csv,59,0.9973863156138866,0.9272478480940262,0.9861075932981859,0.9141604740735213,0.9642189500021368,0.9827304106298684,0.9945666782384447,0.9795826422835645,0.9682501140292044,0.9141604740735213,0.029201026934962213,0.9809598330725091,0.8475935828877005,0.9425828970331588,0.8426925845932326,0.9021041369472182,0.9351518270715389,0.965669014084507,0.9246311738293778,0.9176731311899053,0.8426925845932326,0.047511638115540496,0.9809598330725091,0.8475935828877006,0.9425828970331589,0.8426925845932325,0.9021041369472182,0.9351518270715389,0.965669014084507,0.9246311738293778,0.9176731311899053,0.8426925845932325,0.0475116381155405,0.9808449225924954,0.8434925864909391,0.9426129426129426,0.8341555977229601,0.9082093295435546,0.9352185089974293,0.965675057208238,0.922671931556433,0.9166101095906241,0.8341555977229601,0.049759594102904495
z0+eps,59,0.9791197774953203,0.6355815150561928,0.8392547109758809,0.731509686568487,0.9749823718307451,0.9211845364371992,0.9454110047609603,0.8117993927950887,0.8548553744899843,0.6355815150561928,0.11611653610940945,0.9261867501304121,0.598663101604278,0.7636998254799302,0.6839452843772498,0.9190442225392297,0.8430262480699948,0.8746478873239436,0.7463117382937781,0.7944406322273521,0.598663101604278,0.10924531520974431,0.9261867501304122,0.598663101604278,0.7636998254799302,0.6839452843772498,0.9190442225392297,0.8430262480699948,0.8746478873239436,0.7463117382937781,0.7944406322273521,0.598663101604278,0.10924531520974433,0.9255067122927086,0.6291079812206573,0.7561239193083573,0.6653963414634146,0.9212352532963219,0.8433487416538265,0.8733096085409253,0.7410801963993453,0.7943885942719446,0.6291079812206573,0.10616632662530957
z0+eps+csv,75,0.9991564371059916,0.9563667820069205,0.9831760825269775,0.9279249020769483,0.9751711178853929,0.9889501328256758,0.9949531342987502,0.987800768654435,0.9766874196726365,0.9279249020769483,0.02221341680394537,0.9869587897756912,0.8943850267379679,0.9364746945898779,0.8549316054715623,0.9090584878744651,0.9482758620689655,0.969894366197183,0.9445157152020526,0.9305618184897206,0.8549316054715623,0.03994091099161781,0.9869587897756912,0.8943850267379679,0.9364746945898779,0.8549316054715623,0.909058487874465,0.9482758620689655,0.969894366197183,0.9445157152020527,0.9305618184897207,0.8549316054715623,0.039940910991617826,0.9869109947643979,0.8939027665860865,0.9347903977069151,0.8522185551888523,0.9119779081808768,0.9478599221789883,0.9699631125944141,0.9431482090042721,0.9300964832756003,0.8522185551888523,0.040355291725748976
z0+eps+physics,84,0.981304469332271,0.6601976035917528,0.8457848682266873,0.75686057426421,0.979744330495868,0.9363660516167278,0.956884670700258,0.8275310524953703,0.8680842025903932,0.6601976035917528,0.10929552761030037,0.9248826291079812,0.6181818181818182,0.7657940663176265,0.6947444204463643,0.9276034236804565,0.8633556356150283,0.8890845070422535,0.7594611930724824,0.8053884616830014,0.6181818181818182,0.10638728520457608,0.9248826291079812,0.6181818181818182,0.7657940663176266,0.6947444204463643,0.9276034236804565,0.8633556356150283,0.8890845070422535,0.7594611930724824,0.8053884616830014,0.6181818181818182,0.10638728520457608,0.9251170046801872,0.5534709193245778,0.7658757850662945,0.6530278232405892,0.9278863232682061,0.8664150943396226,0.8864455659697188,0.741913282863042,0.7900189748440298,0.5534709193245778,0.12748134538948935
z0+eps+physics+csv,100,0.9988636391466518,0.9560414938945924,0.984762722756747,0.9342830975249842,0.9809189694363667,0.9900848924137189,0.9969744346359849,0.9882759832313028,0.9787756541300435,0.9342830975249842,0.020885839412233494,0.989567031820553,0.8898395721925134,0.9420593368237348,0.8704103671706264,0.920114122681883,0.9534225424601133,0.975,0.946119307248236,0.9358165350497074,0.8704103671706264,0.037943979560153634,0.989567031820553,0.8898395721925134,0.9420593368237347,0.8704103671706264,0.920114122681883,0.9534225424601133,0.9750000000000001,0.9461193072482361,0.9358165350497074,0.8704103671706264,0.037943979560153655,0.9895506792058516,0.8876772082878953,0.9413220219158713,0.8711524695776665,0.92,0.9538618404282437,0.9749382280268267,0.9445910290237467,0.9353866845582628,0.8711524695776665,0.038076109701162084
z0+physics,68,0.9758014459756471,0.6285490005433383,0.8628507381315692,0.7156230093385185,0.9752212297085273,0.9307984718358975,0.9599620610989882,0.7933133400343388,0.8552649120833531,0.6285490005433383,0.12266870698432464,0.9178403755868545,0.6205882352941177,0.7774869109947644,0.6583873290136789,0.9149429386590585,0.8564076170869789,0.8922535211267606,0.7206542655548428,0.7948201491646321,0.6205882352941177,0.110465737054693,0.9178403755868545,0.6205882352941177,0.7774869109947644,0.6583873290136789,0.9149429386590585,0.8564076170869789,0.8922535211267606,0.7206542655548429,0.7948201491646321,0.6205882352941177,0.110465737054693,0.9170834430113187,0.5364260045736687,0.7605633802816901,0.5949637217242851,0.9152602593711139,0.8572159672466735,0.8925184404636459,0.7109193494855626,0.7731188207697448,0.5364260045736687,0.1387658739217085
z0+physics+csv,84,0.9986108423955118,0.9204083616917841,0.9882687182673476,0.9260273432984973,0.9681166704992461,0.987782792605203,0.99693550386828,0.9832843786888275,0.9711793264143371,0.9204083616917841,0.029060057939325402,0.9853938445487741,0.8422459893048129,0.9511343804537522,0.8588912886969042,0.9046005706134094,0.9467318579516212,0.9748239436619718,0.9323284156510584,0.9245187863602881,0.8422459893048129,0.04869766315255251,0.9853938445487742,0.8422459893048129,0.9511343804537522,0.8588912886969042,0.9046005706134095,0.9467318579516212,0.9748239436619719,0.9323284156510584,0.9245187863602882,0.8422459893048129,0.048697663152552535,0.9853479853479854,0.8422459893048129,0.9512704490080056,0.8541666666666666,0.9083433270515676,0.9471804031640725,0.9745868135773947,0.9319135204904808,0.9243818943263733,0.8422459893048129,0.04933382545407667
