model,threshold_strategy,accuracy_DC,accuracy_Pika,accuracy_SVD,accuracy_ZS,accuracy_mean,accuracy_min,balanced_accuracy_DC,balanced_accuracy_Pika,balanced_accuracy_SVD,balanced_accuracy_ZS,balanced_accuracy_mean,balanced_accuracy_min,f1_DC,f1_Pika,f1_SVD,f1_ZS,f1_mean,f1_min,auc_DC,auc_Pika,auc_SVD,auc_ZS,auc_mean,auc_min,threshold_mean
RF-balanced,default,0.9259028642590287,0.8919523099850969,0.8795552810376775,0.8682550805886475,0.8914163839676126,0.8682550805886475,0.9149982980968896,0.8909050982485107,0.8780069827933956,0.8677718862452666,0.8879205663460157,0.8677718862452666,0.9033306255077173,0.8849206349206349,0.8524962178517398,0.8559386973180076,0.8741715438995248,0.8524962178517398,0.9766390132587316,0.9534305672534614,0.9505481512686865,0.9432875742048288,0.955976326496427,0.9432875742048288,0.5
RF-balanced,youden,0.927148194271482,0.8975409836065574,0.8897467572575664,0.8731604765241766,0.8968991029149456,0.8731604765241766,0.9269406227152706,0.895573049136764,0.8814771171436122,0.8744849311879459,0.8946189300458982,0.8744849311879459,0.9110942249240122,0.8877092690894243,0.8590604026845637,0.8641141141141141,0.8804945027030285,0.8590604026845637,0.9766390132587316,0.9534305672534614,0.9505481512686865,0.9432875742048288,0.955976326496427,0.9432875742048288,0.4833302915837469
Reject(m=0.05),coverage=0.96,,0.8838206627680312,,,0.8838206627680312,0.8838206627680312,,0.884081778119439,,,0.884081778119439,0.884081778119439,,0.88359375,,,0.88359375,0.88359375,,0.9561783033521586,,,0.9561783033521586,0.9561783033521586,0.5
Reject(m=0.05),coverage=0.97,,,0.900855242318657,0.8975188781014024,0.8991870602100297,0.8975188781014024,,,0.9013664314511911,0.8971680206910218,0.8992672260711064,0.8971680206910218,,,0.8791039011201236,0.888015717092338,0.8835598091062308,0.8791039011201236,,,0.964620172063566,0.9615729973823354,0.9630965847229507,0.9615729973823354,0.5
Reject(m=0.05),coverage=0.98,0.9496835443037974,,,,0.9496835443037974,0.9496835443037974,0.9407441591503825,,,,0.9407441591503825,0.9407441591503825,0.9342159702110053,,,,0.9342159702110053,0.9342159702110053,0.9855633860193979,,,,0.9855633860193979,0.9855633860193979,0.5
Reject(m=0.1),coverage=0.92,,0.9008533116619261,,,0.9008533116619261,0.9008533116619261,,0.9009271771623015,,,0.9009271771623015,0.9009271771623015,,0.901294498381877,,,0.901294498381877,0.901294498381877,,0.9613337137679006,,,0.9613337137679006,0.9613337137679006,0.5
Reject(m=0.1),coverage=0.95,,,0.9132702967068796,0.9070025935531678,0.9101364451300238,0.9070025935531678,,,0.9137901338475579,0.9068687298804499,0.9103294318640038,0.9068687298804499,,,0.8936,0.8977596741344196,0.8956798370672098,0.8936,,,0.9681392916626714,0.9652870878922861,0.9667131897774788,0.9652870878922861,0.5
Reject(m=0.1),coverage=0.97,0.9554982263785875,,,,0.9554982263785875,0.9554982263785875,0.946933974593549,,,,0.946933974593549,0.946933974593549,0.9413265306122449,,,,0.9413265306122449,0.9413265306122449,0.9864812588216844,,,,0.9864812588216844,0.9864812588216844,0.5
Reject(m=0.15),coverage=0.87,,0.9155290102389079,,,0.9155290102389079,0.9155290102389079,,0.9155098356120503,,,0.9155098356120503,0.9155098356120503,,0.9165964616680707,,,0.9165964616680707,0.9165964616680707,,0.966456995588171,,,0.966456995588171,0.966456995588171,0.5
Reject(m=0.15),coverage=0.91,,,,0.9167306216423637,0.9167306216423637,0.9167306216423637,,,,0.9168708089864253,0.9168708089864253,0.9168708089864253,,,,0.9086315789473685,0.9086315789473685,0.9086315789473685,,,,0.9692308607282513,0.9692308607282513,0.9692308607282513,0.5
Reject(m=0.15),coverage=0.92,,,0.9219905850706119,,0.9219905850706119,0.9219905850706119,,,0.9230131511819057,,0.9230131511819057,0.9230131511819057,,,0.9042113955408753,,0.9042113955408753,0.9042113955408753,,,0.9713333522287096,,0.9713333522287096,0.9713333522287096,0.5
Reject(m=0.15),coverage=0.94,0.9627185747278126,,,,0.9627185747278126,0.9627185747278126,0.9545974183639214,,,,0.9545974183639214,0.9545974183639214,0.9499335400974745,,,,0.9499335400974745,0.9499335400974745,0.9869911109680447,,,,0.9869911109680447,0.9869911109680447,0.5
Reject(m=0.2),coverage=0.82,,0.9326354119253527,,,0.9326354119253527,0.9326354119253527,,0.9324419994661282,,,0.9324419994661282,0.9324419994661282,,0.9344552701505757,,,0.9344552701505757,0.9344552701505757,,0.9719319363133992,,,0.9719319363133992,0.9719319363133992,0.5
Reject(m=0.2),coverage=0.88,,,,0.9271786709112615,0.9271786709112615,0.9271786709112615,,,,0.9275541504945537,0.9275541504945537,0.9275541504945537,,,,0.920744911216977,0.920744911216977,0.920744911216977,,,,0.9727663320242333,0.9727663320242333,0.9727663320242333,0.5
Reject(m=0.2),coverage=0.89,,,0.9313588850174216,,0.9313588850174216,0.9313588850174216,,,0.9327374241038664,,0.9327374241038664,0.9327374241038664,,,0.9157038938810441,,0.9157038938810441,0.9157038938810441,,,0.9745750805560331,,0.9745750805560331,0.9745750805560331,0.5
Reject(m=0.2),coverage=0.92,0.9699019276293541,,,,0.9699019276293541,0.9699019276293541,0.9621842947890558,,,,0.9621842947890558,0.9621842947890558,0.9588534442903375,,,,0.9588534442903375,0.9588534442903375,0.9875032998847597,,,,0.9875032998847597,0.9875032998847597,0.5
Stacking(GB+LR+RF),default,0.9265255292652553,0.8766766020864382,0.890982087708462,0.8766643307638402,0.892712137455999,0.8766643307638402,0.9112605563309789,0.8764598291596132,0.8850817805527018,0.8735076687610364,0.8865774587010825,0.8735076687610364,0.9013377926421404,0.8719535783365571,0.8625924484235111,0.8606492478226445,0.8741332668062133,0.8606492478226445,0.9849233539374385,0.9508165369936428,0.9577002485906243,0.9520675811888127,0.9613769301776295,0.9508165369936428,0.5
Stacking(GB+LR+RF),youden,0.9483188044831881,0.8833830104321908,0.8937615812229771,0.8840224246671339,0.9023714552013725,0.8833830104321908,0.9470569160710006,0.8824689854927437,0.8921621422908093,0.8839041460593737,0.9013980474784818,0.8824689854927437,0.9362029208301307,0.8763334650335836,0.8694001518602885,0.8735192969048529,0.8888639586572138,0.8694001518602885,0.9849233539374385,0.9508165369936428,0.9577002485906243,0.9520675811888127,0.9613769301776295,0.9508165369936428,0.3692711972259726
Stacking(GB+LR+RF+SVM),default,0.9290161892901619,0.8759314456035767,0.8922174181593576,0.8826208829712684,0.8949464840060911,0.8759314456035767,0.9140988070565536,0.876079566144361,0.8868837148301894,0.8798098474172881,0.889217983862098,0.876079566144361,0.9048414023372288,0.8725602755453502,0.8645712068296468,0.8678500986193294,0.8774557458328888,0.8645712068296468,0.9845422887676409,0.9507915196900079,0.9595363615950336,0.9520497497405771,0.9617299799483148,0.9507915196900079,0.5
Stacking(GB+LR+RF+SVM),youden,0.9486301369863014,0.8863636363636364,0.8934527486102533,0.8847231955150666,0.9032924293688144,0.8847231955150666,0.9478188450019436,0.8853748842949707,0.896282864733714,0.8854609305539389,0.9037343811461418,0.8853748842949707,0.9367573783058644,0.8792079207920792,0.8723640399556049,0.875520242149073,0.8909623953006554,0.8723640399556049,0.9845422887676409,0.9507915196900079,0.9595363615950336,0.9520497497405771,0.9617299799483148,0.9507915196900079,0.35005313126115867
TwoStage(m=0.15),default,0.936799501867995,0.8934426229508197,0.8940704138357011,0.8787666433076384,0.9007697954905385,0.8787666433076384,0.9262568403413474,0.89307660020403,0.8922907099438238,0.8780472582910043,0.8974178521950513,0.8780472582910043,0.9175132060138155,0.8888024883359253,0.8696313188901559,0.8669230769230769,0.8857175225407434,0.8669230769230769,0.9845314127004268,0.9526361288780294,0.960961932449323,0.9568444280439149,0.9637434755179235,0.9526361288780294,0.5
TwoStage(m=0.15),youden,0.951120797011208,0.8945603576751118,0.8956145768993206,0.8805185704274702,0.9054535755032775,0.8805185704274702,0.9477757435503915,0.8943916764651105,0.8951225764401266,0.8828545672035089,0.9050361409147845,0.8828545672035089,0.9388391118036619,0.8906068805566293,0.8724528301886793,0.8733754177497215,0.8938185600746729,0.8724528301886793,0.9845314127004268,0.9526361288780294,0.960961932449323,0.9568444280439149,0.9637434755179235,0.9526361288780294,0.40124060327473543
TwoStage(m=0.2),default,0.9361768368617683,0.896795827123696,0.8922174181593576,0.8780658724597057,0.9008139886511319,0.8780658724597057,0.925108811024304,0.8961334367381883,0.8895878085275923,0.8775365854262582,0.8970916604290857,0.8775365854262582,0.9164288626172035,0.8913299333071792,0.8667430316914853,0.866462010744436,0.8852409595900759,0.866462010744436,0.9844629337587083,0.9537257714363545,0.9606964511750923,0.9565779469563946,0.9638657758316374,0.9537257714363545,0.5
TwoStage(m=0.2),youden,0.9467621419676214,0.8986587183308494,0.8931439159975293,0.8843728100911002,0.9057343965967751,0.8843728100911002,0.9473813854095544,0.8982207137714697,0.8924200724509526,0.8818057313246537,0.9049569757391577,0.8818057313246537,0.9350550702620585,0.8939984411535464,0.8693353474320241,0.8701809598741149,0.892142454680436,0.8693353474320241,0.9844629337587083,0.9537257714363545,0.9606964511750923,0.9565779469563946,0.9638657758316374,0.9537257714363545,0.4468710713799144
TwoStage(m=0.25),default,0.9336861768368617,0.9008941877794336,0.8937615812229771,0.8763139453398738,0.9011639727947864,0.8763139453398738,0.9221452841171152,0.8999624740445475,0.8910032449919223,0.8756714654726201,0.8971956171565513,0.8756714654726201,0.9129546383326522,0.8947784810126582,0.8685015290519877,0.8643872454859777,0.8851554734708189,0.8643872454859777,0.9840544770122236,0.9550277831055369,0.9605974918378417,0.9559637526282811,0.9639108761459709,0.9550277831055369,0.5
TwoStage(m=0.25),youden,0.9476961394769614,0.9027570789865872,0.8934527486102533,0.8784162578836721,0.9055805562393684,0.8784162578836721,0.9477880294781704,0.9020758802616253,0.8929349392035959,0.8792303253496325,0.905507293573256,0.8792303253496325,0.9359756097560976,0.8975265017667845,0.8698604300264051,0.8689081979599547,0.8930676848773105,0.8689081979599547,0.9840544770122236,0.9550277831055369,0.9605974918378417,0.9559637526282811,0.9639108761459709,0.9550277831055369,0.41147125680497815
XGBoost,default,0.9623287671232876,0.8703427719821163,0.9116738727609636,0.8864751226348984,0.9077051336253164,0.8703427719821163,0.9576665196383507,0.8727964619973259,0.9176463574816637,0.8909220592350804,0.9097578495881051,0.8727964619973259,0.9523434423001181,0.875268817204301,0.8956204379562044,0.8824383164005806,0.901417753465301,0.875268817204301,0.9920516089530175,0.963580921248308,0.9741616773011523,0.9664550833248717,0.9740623227068373,0.963580921248308,0.5
XGBoost,youden,0.962640099626401,0.9046199701937406,0.9178505250154416,0.9050455501051157,0.9225390362351746,0.9046199701937406,0.9614350769280346,0.904450578316669,0.9198314114423225,0.9034741604978938,0.92229780679623,0.9034741604978938,0.9537393986121819,0.9010054137664346,0.900523560209424,0.8944292948967667,0.9124244168712018,0.8944292948967667,0.9920516089530175,0.963580921248308,0.9741616773011523,0.9664550833248717,0.9740623227068373,0.963580921248308,0.6336739361286163
XGBoost-tuned,default,0.960772104607721,0.8673621460506706,0.9079678814082767,0.8910301331464611,0.9067830663032824,0.8673621460506706,0.9556107415262345,0.8699689507464885,0.9137857510477171,0.8950913985551574,0.9086142104688995,0.8699689507464885,0.9502369668246445,0.8729478943611706,0.8912408759124087,0.8866204885162231,0.9002615564036117,0.8729478943611706,0.9918502003009046,0.9618024689298987,0.973430610229375,0.967032624120501,0.9735289758951697,0.9618024689298987,0.5
XGBoost-tuned,youden,0.9623287671232876,0.9020119225037257,0.9172328597899938,0.901541695865452,0.9207788113206148,0.901541695865452,0.9611742527235485,0.9017217464301697,0.9193167434032077,0.9007246502435726,0.9207343482001246,0.9007246502435726,0.9533718689788054,0.8979433449747769,0.8998505231689088,0.8915476649942107,0.9106783505291756,0.8915476649942107,0.9918502003009046,0.9618024689298987,0.973430610229375,0.967032624120501,0.9735289758951697,0.9618024689298987,0.616323359310627
bn-GB,default,0.9417808219178082,0.8699701937406855,0.8906732550957381,0.8878766643307638,0.897575233771249,0.8699701937406855,0.9329355512454104,0.870738093848245,0.8906189330275796,0.8876281944915685,0.8954801931532008,0.870738093848245,0.924748490945674,0.8688462983840661,0.8669172932330828,0.877488514548239,0.8845001492777655,0.8669172932330828,0.9846832748241199,0.9500893673679851,0.9611952221319179,0.9580847043322989,0.9635131421640803,0.9500893673679851,0.5
bn-GB,youden,0.9514321295143213,0.8845007451564829,0.8885114268066708,0.8892782060266293,0.9034306268760262,0.8845007451564829,0.9495398819342481,0.883548899099655,0.8947408477516557,0.8887803041747878,0.9041524832400866,0.883548899099655,0.9397683397683397,0.877373417721519,0.869155491119971,0.8786482334869432,0.8912363705241932,0.869155491119971,0.9846832748241199,0.9500893673679851,0.9611952221319179,0.9580847043322989,0.9635131421640803,0.9500893673679851,0.45741022266926346
bn-GB+Platt,default,0.9283935242839353,0.8714605067064084,0.8987029030265596,0.886124737210932,0.8961704178069588,0.8714605067064084,0.9130760539211243,0.8716815241653255,0.8931890938066955,0.8841285251163378,0.8905187992523707,0.8716815241653255,0.9037656903765691,0.868270332187858,0.8723735408560311,0.8729972645564674,0.8793517069942314,0.868270332187858,0.9858268731508169,0.949560668351165,0.9619745765911489,0.9589693422919849,0.9640828650962789,0.949560668351165,0.5
bn-GB+Platt,youden,0.9486301369863014,0.8885991058122206,0.900555898702903,0.8875262789067975,0.9063278551020556,0.8875262789067975,0.9471924640938725,0.886358898237948,0.9003988180519318,0.8871113301517406,0.9052653776338733,0.886358898237948,0.9365140438630243,0.876904075751338,0.8785822021116139,0.8768699654775605,0.8922175718008842,0.8768699654775605,0.9858268731508169,0.949560668351165,0.9619745765911489,0.9589693422919849,0.9640828650962789,0.949560668351165,0.435787323840684
bn-GB+SMOTE,default,0.9458281444582815,0.8703427719821163,0.8885114268066708,0.8815697266993693,0.8965630174866095,0.8703427719821163,0.9392076180808575,0.8721432324024117,0.8942257822854838,0.8850589799916291,0.8976589031900954,0.8721432324024117,0.9308975377283558,0.872992700729927,0.8687749909123955,0.876099706744868,0.8871912340288866,0.8687749909123955,0.9837197358324118,0.9573366022610084,0.9621347396952131,0.955049890906209,0.9645602421737105,0.955049890906209,0.5
bn-GB+SMOTE,youden,0.9452054794520548,0.8997764530551415,0.8906732550957381,0.8857743517869656,0.905357384847475,0.8857743517869656,0.9440728454812962,0.8979157806371629,0.8958983540558425,0.8877307253189228,0.906404426373306,0.8877307253189228,0.9324635456638527,0.8905168905168905,0.8708971553610503,0.8783582089552239,0.8930589501242544,0.8708971553610503,0.9837197358324118,0.9573366022610084,0.9621347396952131,0.955049890906209,0.9645602421737105,0.955049890906209,0.5487177663428013
bn-GB-balanced,default,0.9455168119551681,0.8546944858420268,0.8835701050030883,0.8759635599159075,0.8899362406790476,0.8546944858420268,0.9407006604189703,0.8575470255815828,0.8908810361718236,0.8803197773050242,0.8923621248693503,0.8575470255815828,0.9312917157440126,0.8618001417434443,0.8643396905361641,0.8715529753265603,0.8822461308375453,0.8618001417434443,0.9857845773338733,0.9546958868773122,0.9612524516281593,0.9551385528293803,0.9642178671671813,0.9546958868773122,0.5
bn-GB-balanced,youden,0.9480074719800747,0.8934426229508197,0.8903644224830142,0.8868255080588647,0.9046600063681933,0.8868255080588647,0.9455433300503723,0.8919007869331843,0.894353356370855,0.8881044427548597,0.9049754790273179,0.8881044427548597,0.9353464963221061,0.8847703464947623,0.8696290855673889,0.8785257615644979,0.8920679224871888,0.8696290855673889,0.9857845773338733,0.9546958868773122,0.9612524516281593,0.9551385528293803,0.9642178671671813,0.9546958868773122,0.594346995296265
bn-LR-balanced,default,0.926214196762142,0.7783159463487332,0.8452748610253242,0.8461807988787666,0.8489964507537415,0.7783159463487332,0.9190174077498021,0.7825248574708619,0.8516319348537569,0.8505741973990852,0.8509370993683765,0.7825248574708619,0.9059896866322887,0.7971360381861575,0.820365722481176,0.8412296564195298,0.841180275929788,0.7971360381861575,0.9754233106345783,0.896701885470784,0.9316449307185283,0.9282244583078452,0.9329986462829339,0.896701885470784,0.5
bn-LR-balanced,youden,0.9283935242839353,0.8192995529061102,0.8536133415688697,0.8591450595655221,0.8651128695811093,0.8192995529061102,0.9254783959009312,0.8187510250145239,0.8547169623855162,0.8568833105074285,0.8639574234520999,0.8187510250145239,0.91112828438949,0.8109161793372319,0.8245743893412287,0.8428459734167318,0.8473662066211706,0.8109161793372319,0.9754233106345783,0.896701885470784,0.9316449307185283,0.9282244583078452,0.9329986462829339,0.896701885470784,0.5939236409441888
