strategy,n_feats,auc_DC,acc_DC,auc_Latte,acc_Latte,auc_OSora,acc_OSora,auc_Pika,acc_Pika,auc_SEINE,acc_SEINE,auc_SVD,acc_SVD,auc_VCraft,acc_VCraft,auc_ZS,acc_ZS,auc_mean,auc_min,acc_mean
all_latent,59,0.9993020197344736,0.9890453834115805,0.9563652091852786,0.8943850267379679,0.9853465274160979,0.9413612565445026,0.9388069688766151,0.875089992800576,0.9802638273019387,0.9210057061340942,0.9909188771389649,0.9585692228512609,0.9972525292600675,0.9778169014084507,0.9905068173748325,0.950288646568313,0.9798453470360335,0.9388069688766151,0.9384452670570933
hard(g_mean<=0.75),20,0.9984018564914477,0.9843505477308294,0.9623423603763333,0.8989304812834225,0.9803564107952691,0.931239092495637,0.9416442364956377,0.875089992800576,0.9781914363218633,0.9151212553495007,0.9870743625122476,0.9467318579516212,0.995850649672684,0.9683098591549296,0.9808891737890565,0.932649134060295,0.9780938108068173,0.9416442364956377,0.9315527776033514
soft(l=0.3),20,0.9985093427311682,0.9856546687532604,0.9631136149160685,0.8986631016042781,0.9818039831997781,0.9314136125654451,0.9425523279951858,0.8790496760259179,0.9756736987714717,0.9081669044222539,0.9844171867868847,0.9410705095213587,0.9953433098591549,0.9704225352112676,0.9816480770678726,0.9310455420141116,0.9778826926659481,0.9425523279951858,0.9306858187647367
soft(l=0.5),20,0.9983123299778578,0.9827856025039123,0.9674932082701823,0.9064171122994652,0.9776187909079004,0.9218150087260035,0.939707285620174,0.8772498200143989,0.9716872014912465,0.9099500713266762,0.981803054579976,0.9338651569737519,0.9953786451100971,0.9690140845070423,0.9863858223948263,0.9438742783835792,0.9772982922940325,0.939707285620174,0.9306213918418538
soft(l=0.7),20,0.9978314991282731,0.9820031298904538,0.9699997140324287,0.9077540106951871,0.9755554946410461,0.9174520069808028,0.940717485581715,0.8779697624190065,0.9700066747930917,0.9081669044222539,0.9819712554059348,0.9351518270715389,0.995550362031343,0.9704225352112676,0.9859834329089591,0.9448364336112893,0.9772019898153489,0.940717485581715,0.930469576287725
soft(l=0.2),20,0.9986984640896636,0.9843505477308294,0.9607532385827448,0.8970588235294118,0.9798669017966736,0.9300174520069808,0.93592331188019,0.8704103671706264,0.9724249518214249,0.9038873038516405,0.9866827327151136,0.9467318579516212,0.9951925461218012,0.9704225352112676,0.9824182949794712,0.9332905708787684,0.9764950552483853,0.93592331188019,0.9295211822913932
soft(l=1.0),20,0.9973544779175644,0.9767866458007303,0.9605393348394292,0.8954545454545455,0.9750131118481768,0.9207678883071553,0.9463049435526798,0.8869690424766019,0.9642780285347405,0.8987161198288159,0.9754069201793047,0.9227997941327843,0.9964239486213055,0.971830985915493,0.988052159222804,0.9474021808851828,0.9754216155895006,0.9463049435526798,0.9275909003501637
hard(g_mean<=0.70),20,0.9975855053036977,0.9804381846635368,0.9542360376333325,0.8901069518716578,0.9820318034654264,0.9326352530541012,0.9437584518076567,0.8855291576673866,0.9613927830834695,0.8967546362339515,0.9784681752117542,0.9248584662892434,0.9956578555842094,0.969894366197183,0.9855292018328882,0.9403463758819757,0.9748324767403043,0.9437584518076567,0.9275704239823794
hard(g_mean<=0.65),20,0.9974959787901078,0.9799165362545644,0.9533066430266809,0.8922459893048128,0.9856223483152569,0.9394415357766143,0.9436467544799438,0.8761699064074874,0.9592060506592376,0.8960413694721826,0.977146937857609,0.925887802367473,0.9956602112676056,0.9705985915492957,0.9804153992563611,0.9300833867864016,0.9740625404566003,0.9436467544799438,0.926298139739854
safe_max(g<=0.85),20,0.9960616497532306,0.9744392279603548,0.9523675255226057,0.8844919786096257,0.984887597501287,0.9401396160558464,0.9411761961850829,0.8797696184305256,0.9652550818984902,0.8983594864479315,0.9727657698869664,0.9143077714873906,0.9960730757786153,0.9690140845070423,0.9802105015426986,0.9310455420141116,0.9735996747586222,0.9411761961850829,0.9239459156891036
safe_max(g<=0.80),20,0.9940177784961669,0.9653103808033385,0.9062242271726386,0.8323529411764706,0.9811491522223135,0.9303664921465968,0.9503644028132178,0.8837293016558675,0.9477604593804245,0.8865905848787446,0.9701119052014847,0.9081317550180134,0.9870736213052965,0.9411971830985916,0.9637001893863807,0.8983322642719692,0.9625502169972404,0.9062242271726386,0.9057513628811991
hard(g_mean<=0.60),20,0.9942229547613548,0.9658320292123109,0.9217647058823529,0.8524064171122995,0.9805392761528833,0.9268760907504363,0.948745180299183,0.8812095032397408,0.9441727580936953,0.8796362339514978,0.9682145469080318,0.9055584148224395,0.9846059809561594,0.9345070422535211,0.954069585403054,0.8822963438101347,0.9620418735570893,0.9217647058823529,0.9035402593940476
safe_max(g<=0.75),20,0.9940569633531788,0.9637454355764214,0.8976180331150447,0.8245989304812834,0.9821883537549226,0.9324607329842932,0.9446820928191835,0.8768898488120951,0.948762377874689,0.8848074179743224,0.9681284598711238,0.9014410705095214,0.9889111783376314,0.9473591549295775,0.9616191198367731,0.8948043617703656,0.9607458223703184,0.8976180331150447,0.9032633691297349
safe_max(g<=0.70),12,0.9925461694217158,0.9606155451225874,0.9254508278761188,0.8481283422459893,0.9755221134898225,0.9183246073298429,0.9522293076165138,0.8833693304535637,0.9347116077297359,0.8755349500713266,0.965474595185642,0.8950077200205867,0.9845284913707597,0.9364436619718309,0.9525929229646313,0.8822963438101347,0.9603820044568674,0.9254508278761188,0.8999650626282327
safe_max(g<=0.65),6,0.9928509405318093,0.9606155451225874,0.931764276930996,0.8566844919786096,0.969280447356158,0.9092495636998255,0.9452232158360376,0.8718502519798416,0.9319430566889364,0.8714336661911555,0.9554659838331193,0.8829130211013896,0.9828843483435826,0.9330985915492958,0.9429322837742817,0.8665811417575369,0.9565430691618652,0.931764276930996,0.8940532841725303
